code,n,processes,time1message,time1effective,time2message,time2effective
S,16,1,0.000000390,0.000000390,0.000000729,0.000000729
SB,16,1,471.825374742,471.825374742,0.000000641,0.000000641
M,16,1,0.000000823,0.000000432,0.000001662,0.000000749
MD,16,1,0.000001476,0.000000420,0.000001605,0.000000637
MC,16,1,0.000001752,0.000000386,0.000002589,0.000000637
MB,16,1,0.000000000,0.000000000,0.000014350,0.000000529
M,16,2,0.000002060,0.000000176,0.000007298,0.000000432
MD,16,2,0.000006568,0.000000129,0.000006800,0.000000331
MC,16,2,0.000003288,0.000000138,0.000002809,0.000000424
MB,16,2,0.000000000,0.000000000,0.000017953,0.000000331
M,16,4,0.000003107,0.000000062,0.000018501,0.000000250
MD,16,4,0.000012050,0.000000050,0.000018179,0.000000191
MC,16,4,0.000004909,0.000000062,0.000003417,0.000000176
MB,16,4,0.000000000,0.000000000,0.000027018,0.000000193
M,16,8,0.000004528,0.000000031,0.000024695,0.000000129
MD,16,8,0.000029964,0.000000026,0.000036380,0.000000181
MC,16,8,0.000008497,0.000000038,0.000007193,0.000000100
MB,16,8,0.000000000,0.000000000,0.000036747,0.000000129
M,16,16,0.000027843,0.000000043,0.000041816,0.000000079
MD,16,16,0.000025890,0.000000024,0.000035908,0.000000086
MC,16,16,0.000008261,0.000000033,0.000007446,0.000000074
MB,16,16,0.000000000,0.000000000,0.000069196,0.000000098
S,32,1,0.000001761,0.000001761,0.000002710,0.000002710
SB,32,1,474.779540236,474.779540236,0.000002695,0.000002695
M,32,1,0.000001988,0.000001674,0.000004747,0.000002971
MD,32,1,0.000003812,0.000001817,0.000004585,0.000002544
MC,32,1,0.000004737,0.000001690,0.000007567,0.000002773
MB,32,1,0.000000000,0.000000000,0.000049129,0.000002003
M,32,2,0.000004058,0.000000451,0.000015132,0.000001633
MD,32,2,0.000013545,0.000000436,0.000014055,0.000001235
MC,32,2,0.000007069,0.000000420,0.000005686,0.000001259
MB,32,2,0.000000000,0.000000000,0.000050123,0.000001140
M,32,4,0.000006459,0.000000265,0.000031767,0.000000782
MD,32,4,0.000023904,0.000000134,0.000031805,0.000000706
MC,32,4,0.000009527,0.000000112,0.000012779,0.000000696
MB,32,4,0.000000000,0.000000000,0.000065558,0.000000601
M,32,8,0.000009091,0.000000050,0.000046430,0.000000463
MD,32,8,0.000031071,0.000000048,0.000046673,0.000000377
MC,32,8,0.000010817,0.000000088,0.000015242,0.000000360
MB,32,8,0.000000000,0.000000000,0.000077548,0.000000341
M,32,16,0.000021341,0.000000026,0.000102649,0.000000591
MD,32,16,0.000067804,0.000000045,0.000081322,0.000000198
MC,32,16,0.000013273,0.000000038,0.000010648,0.000000188
MB,32,16,0.000000000,0.000000000,0.000078499,0.000000205
S,64,1,0.000006979,0.000006979,0.000010461,0.000010461
SB,64,1,475.984567625,475.984567625,0.000010480,0.000010480
M,64,1,0.000007248,0.000006895,0.000015481,0.000011721
MD,64,1,0.000012474,0.000007455,0.000014858,0.000009809
MC,64,1,0.000014069,0.000006435,0.000023098,0.000009587
MB,64,1,0.000000000,0.000000000,0.000188096,0.000008526
M,64,2,0.000013649,0.000001712,0.000036008,0.000005784
MD,64,2,0.000029953,0.000001836,0.000032296,0.000004969
MC,64,2,0.000020847,0.000001674,0.000018680,0.000005100
MB,64,2,0.000000000,0.000000000,0.000168331,0.000004685
M,64,4,0.000018563,0.000000436,0.000070672,0.000003240
MD,64,4,0.000050294,0.000000474,0.000062881,0.000002551
MC,64,4,0.000023034,0.000000448,0.000036280,0.000002584
MB,64,4,0.000000000,0.000000000,0.000178430,0.000002193
M,64,8,0.000028470,0.000000162,0.000107470,0.000001583
MD,64,8,0.000118389,0.000000498,0.000139382,0.000001278
MC,64,8,0.000025887,0.000000124,0.000040922,0.000001376
MB,64,8,0.000000000,0.000000000,0.000201213,0.000001278
M,64,16,0.000059884,0.000000067,0.000224967,0.000000987
MD,64,16,0.000095551,0.000000095,0.000139017,0.000000751
MC,64,16,0.000037353,0.000000079,0.000048187,0.000000780
MB,64,16,0.000000000,0.000000000,0.000267737,0.000000699
S,128,1,0.000030019,0.000030019,0.000103887,0.000103887
SB,128,1,476.989970843,476.989970843,0.000044132,0.000044132
M,128,1,0.000030360,0.000030000,0.000102499,0.000093138
MD,128,1,0.000044680,0.000030980,0.000114264,0.000100844
MC,128,1,0.000049231,0.000025487,0.000170779,0.000099101
MB,128,1,0.000000000,0.000000000,0.000731421,0.000033870
M,128,2,0.000047195,0.000007236,0.000092511,0.000023456
MD,128,2,0.000082409,0.000007772,0.000081210,0.000020947
MC,128,2,0.000043604,0.000006831,0.000099447,0.000021110
MB,128,2,0.000000000,0.000000000,0.000598922,0.000017040
